2025-03-04 01:00:47.2344 | INFO | HelloGreetingApplication.Program | Application Starting... 
2025-03-04 01:00:48.8204 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7210 
2025-03-04 01:00:48.8315 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5224 
2025-03-04 01:00:48.8960 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-04 01:00:48.8960 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-04 01:00:48.8960 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\Sujeet\OneDrive\Desktop\BL_Cg_API\HelloGreetingApplication\ 
2025-03-04 01:00:50.8171 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger - - 
2025-03-04 01:00:51.1648 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7210/Swagger - - - 301 0 - 353.4597ms 
2025-03-04 01:00:51.1648 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/index.html - - 
2025-03-04 01:00:51.3245 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7210/Swagger/index.html - - - 200 - text/html;charset=utf-8 155.1601ms 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/swagger-ui.css - - 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/index.css - - 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/swagger-ui-bundle.js - - 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/swagger-ui-standalone-preset.js - - 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/Swagger/index.js - - 
2025-03-04 01:00:51.3354 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7210/_framework/aspnetcore-browser-refresh.js - - 
2025-03-04 01:00:51.3483 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7210/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 11.3401ms 
2025-03-04 01:00:51.3483 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7210/_framework/aspnetcore-browser-refresh.js - - - 200 12380 application/javascript;+charset=utf-8 19.7202ms 
2025-03-04 01:00:51.3685 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' 
2025-03-04 01:00:51.3685 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7210/Swagger/index.css - - - 200 202 text/css 34.0340ms 
2025-03-04 01:00:51.4338 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2025-03-04 01:00:51.4338 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
